time pmmread pmmwrite
0 143.06 73.62
1 993.00 507.61
2 973.95 493.06
3 965.10 482.85
4 957.97 477.41
5 937.36 468.37
6 911.96 453.54
7 960.32 473.92
8 971.86 480.78
9 960.30 475.25
10 965.16 477.65
11 974.11 480.99
12 960.28 475.76
13 973.28 480.39
14 957.39 471.11
15 972.27 478.68
16 952.42 471.32
17 959.10 471.49
18 928.83 458.65
19 981.92 482.48
20 952.18 470.84
21 970.76 478.14
22 980.30 479.58
23 962.79 474.27
24 952.40 470.65
25 976.89 478.51
26 968.55 476.48
27 958.34 473.14
28 973.26 477.42
29 949.63 469.85
30 955.02 469.02
31 972.28 476.75
32 957.66 471.02
33 969.01 476.78
34 974.05 478.71
35 945.40 464.54
36 968.20 476.92
37 955.24 468.85
38 960.55 472.41
39 959.79 470.99
40 974.45 478.09
41 964.16 474.79
42 963.25 471.44
43 958.89 472.03
44 941.63 461.77
45 967.17 472.73
46 955.89 470.49
47 964.01 471.73
48 965.75 473.98
49 956.23 469.20
50 964.87 473.19
51 964.82 471.26
52 951.14 469.00
53 948.60 464.61
54 966.62 471.93
55 949.00 467.49
56 959.72 469.55
57 935.58 458.61
58 955.76 468.88
59 785.30 385.68
60 117.02 47.90
61 667.63 262.52
62 675.69 258.98
63 660.97 250.10
64 662.85 252.67
65 664.34 250.73
66 657.53 248.21
67 653.22 244.19
68 651.45 243.52
69 629.41 237.64
70 658.43 245.95
71 643.29 241.39
72 629.37 236.25
73 650.92 244.10
74 637.92 239.53
75 629.06 236.49
76 638.11 237.40
77 636.86 239.32
78 627.46 236.11
79 637.93 237.22
80 630.44 236.79
81 635.63 236.56
82 624.42 232.50
83 623.86 234.79
84 628.11 234.28
85 621.16 231.52
86 636.26 239.75
87 621.12 232.09
88 613.21 229.43
89 631.34 236.13
90 617.27 230.66
91 618.55 231.15
92 625.83 234.35
93 617.31 231.33
94 606.68 227.60
95 615.06 230.09
96 615.72 230.46
97 627.64 234.92
98 605.12 224.98
99 612.97 229.87
100 611.42 229.19
101 624.88 234.01
102 609.47 228.64
103 601.01 223.43
104 609.38 228.63
105 609.89 229.35
106 618.04 230.18
107 602.77 226.25
108 603.95 225.17
109 605.37 227.81
110 603.45 227.08
111 605.20 225.70
112 615.07 231.55
113 593.10 221.23
114 604.96 227.47
115 604.01 225.50
116 603.36 227.31
117 599.44 223.43
118 592.23 220.96
119 603.34 227.33
120 501.25 532.01
121 0.00 2120.62
122 0.00 2126.25
123 0.00 50.38
