===============================================================================================================
  SGP Table Benchmark   (threads=16, dist=zipf, runs=3)
  Fri 06 Mar 2026 11:23:40 PM UTC
===============================================================================================================

CONFIGURATION                                 |         Run1         Run2         Run3 |          AVG
----------------------------------------------+------------------------------------------+--------------
SPECTRUMKV (insert-only)                      | 2303187.682671 2290090.496431 2337908.011150 |   2310395.39
SPECTRUMKV (workload-A)                       |  4.10495e+06  3.60744e+06  4.05729e+06 |             
SPECTRUMKV+NO_SGP (insert-only)               | 2159887.886948 2154459.656791 2153375.669140 |   2155907.73
SPECTRUMKV+NO_SGP (workload-A)                |  3.91688e+06  3.94668e+06  3.84132e+06 |             
SPECTRUMKV+IMMEDIATE_PERSIST (insert-only)    | 2300742.555507 2268584.076182 2280911.773437 |   2283412.80
SPECTRUMKV+IMMEDIATE_PERSIST (workload-A)     |  4.05173e+06  4.18685e+06  4.02667e+06 |             
SPECTRUMKV+NO_SGP+IMMEDIATE_PERSIST (insert-only) | 2077024.912228 2094914.788147 2077819.386829 |   2083253.02
SPECTRUMKV+NO_SGP+IMMEDIATE_PERSIST (workload-A) |  3.86854e+06  3.91412e+06  3.92586e+06 |             
SPECTRUMKV+COEFFICIENT=1 (insert-only)        | 2343284.653928 2332332.215107 2323846.036970 |   2333154.30
